"Original","Masked","Field","RowIndex"
"City of London Police","fLrvQqOIz9do","Reported by","35"
"City of London Police","fLrvQqOIz9do","Falls within","35"
"On or near Noble Street","feBrczbAlNwy","Location","35"
"City of London Police","fLrvQqOIz9do","Reported by","36"
"City of London Police","fLrvQqOIz9do","Falls within","36"
"On or near Milton Court","qTY2VvzIEWD8","Location","36"
"City of London Police","fLrvQqOIz9do","Reported by","37"
"City of London Police","fLrvQqOIz9do","Falls within","37"
"On or near Moor Lane","+njjHy9WmmYk","Location","37"
"City of London Police","fLrvQqOIz9do","Reported by","38"
"City of London Police","fLrvQqOIz9do","Falls within","38"
"On or near Moor Lane","+njjHy9WmmYk","Location","38"
"City of London Police","fLrvQqOIz9do","Reported by","39"
"City of London Police","fLrvQqOIz9do","Falls within","39"
"On or near Monkwell Square","gw3N4hl9Qf3X","Location","39"
"City of London Police","fLrvQqOIz9do","Reported by","40"
"City of London Police","fLrvQqOIz9do","Falls within","40"
"On or near Theatre/Concert Hall","Tn3IHHKLBPz0","Location","40"
"City of London Police","fLrvQqOIz9do","Reported by","41"
"City of London Police","fLrvQqOIz9do","Falls within","41"
"On or near Aldermanbury","QIVT7EZlrfrX","Location","41"
"City of London Police","fLrvQqOIz9do","Reported by","42"
"City of London Police","fLrvQqOIz9do","Falls within","42"
"On or near Theatre/Concert Hall","Tn3IHHKLBPz0","Location","42"
"City of London Police","fLrvQqOIz9do","Reported by","43"
"City of London Police","fLrvQqOIz9do","Falls within","43"
"On or near Moor Lane","+njjHy9WmmYk","Location","43"
"City of London Police","fLrvQqOIz9do","Reported by","44"
"City of London Police","fLrvQqOIz9do","Falls within","44"
"On or near Moor Lane","+njjHy9WmmYk","Location","44"
"City of London Police","fLrvQqOIz9do","Reported by","45"
"City of London Police","fLrvQqOIz9do","Falls within","45"
"On or near Moor Lane","+njjHy9WmmYk","Location","45"
"City of London Police","fLrvQqOIz9do","Reported by","46"
"City of London Police","fLrvQqOIz9do","Falls within","46"
"On or near Moor Lane","+njjHy9WmmYk","Location","46"
"City of London Police","fLrvQqOIz9do","Reported by","47"
"City of London Police","fLrvQqOIz9do","Falls within","47"
"On or near Moor Lane","+njjHy9WmmYk","Location","47"
"City of London Police","fLrvQqOIz9do","Reported by","48"
"City of London Police","fLrvQqOIz9do","Falls within","48"
"On or near Moor Lane","+njjHy9WmmYk","Location","48"
"City of London Police","fLrvQqOIz9do","Reported by","49"
"City of London Police","fLrvQqOIz9do","Falls within","49"
"On or near Sports/Recreation Area","RB79V4fXrlFh","Location","49"
"City of London Police","fLrvQqOIz9do","Reported by","50"
"City of London Police","fLrvQqOIz9do","Falls within","50"
"On or near Sports/Recreation Area","RB79V4fXrlFh","Location","50"
"City of London Police","fLrvQqOIz9do","Reported by","51"
"City of London Police","fLrvQqOIz9do","Falls within","51"
"On or near Sports/Recreation Area","RB79V4fXrlFh","Location","51"
"City of London Police","fLrvQqOIz9do","Reported by","52"
"City of London Police","fLrvQqOIz9do","Falls within","52"
"On or near Fann Street","B4cJzx8oLYwj","Location","52"
"City of London Police","fLrvQqOIz9do","Reported by","53"
"City of London Police","fLrvQqOIz9do","Falls within","53"
"On or near Golden Lane","rEsRb4T2ZPuv","Location","53"
"City of London Police","fLrvQqOIz9do","Reported by","54"
"City of London Police","fLrvQqOIz9do","Falls within","54"
"On or near Brackley Street","i+BirA7zgwLv","Location","54"
"City of London Police","fLrvQqOIz9do","Reported by","55"
"City of London Police","fLrvQqOIz9do","Falls within","55"
"On or near Brackley Street","i+BirA7zgwLv","Location","55"
"City of London Police","fLrvQqOIz9do","Reported by","56"
"City of London Police","fLrvQqOIz9do","Falls within","56"
"On or near Fann Street","B4cJzx8oLYwj","Location","56"
"City of London Police","fLrvQqOIz9do","Reported by","57"
"City of London Police","fLrvQqOIz9do","Falls within","57"
"On or near Brackley Street","i+BirA7zgwLv","Location","57"
"City of London Police","fLrvQqOIz9do","Reported by","58"
"City of London Police","fLrvQqOIz9do","Falls within","58"
"On or near Brackley Street","i+BirA7zgwLv","Location","58"
"City of London Police","fLrvQqOIz9do","Reported by","59"
"City of London Police","fLrvQqOIz9do","Falls within","59"
"On or near Brackley Street","i+BirA7zgwLv","Location","59"
"City of London Police","fLrvQqOIz9do","Reported by","60"
"City of London Police","fLrvQqOIz9do","Falls within","60"
"On or near India Street","Ko7IzQHFPPRI","Location","60"
"City of London Police","fLrvQqOIz9do","Reported by","61"
"City of London Police","fLrvQqOIz9do","Falls within","61"
"On or near India Street","Ko7IzQHFPPRI","Location","61"
"City of London Police","fLrvQqOIz9do","Reported by","62"
"City of London Police","fLrvQqOIz9do","Falls within","62"
"On or near Portsoken Street","IIUw3V8vgigd","Location","62"
"City of London Police","fLrvQqOIz9do","Reported by","63"
"City of London Police","fLrvQqOIz9do","Falls within","63"
"On or near Wentworth Street","FSwb7xF+xX1N","Location","63"
"City of London Police","fLrvQqOIz9do","Reported by","64"
"City of London Police","fLrvQqOIz9do","Falls within","64"
"On or near India Street","Ko7IzQHFPPRI","Location","64"
"City of London Police","fLrvQqOIz9do","Reported by","65"
"City of London Police","fLrvQqOIz9do","Falls within","65"
"On or near St Clare Street","rxdkikB/nb/t","Location","65"
"City of London Police","fLrvQqOIz9do","Reported by","66"
"City of London Police","fLrvQqOIz9do","Falls within","66"
"On or near Little Somerset Street","eCY6srbyJm8v","Location","66"
"City of London Police","fLrvQqOIz9do","Reported by","67"
"City of London Police","fLrvQqOIz9do","Falls within","67"
"On or near St Botolph Street","3lbO3t/qlBv2","Location","67"
"City of London Police","fLrvQqOIz9do","Reported by","68"
"City of London Police","fLrvQqOIz9do","Falls within","68"
"On or near Goring Street","7oBUjFOTww5g","Location","68"
"City of London Police","fLrvQqOIz9do","Reported by","69"
"City of London Police","fLrvQqOIz9do","Falls within","69"
"On or near Supermarket","R0V5P6N9Gx/1","Location","69"
"City of London Police","fLrvQqOIz9do","Reported by","70"
"City of London Police","fLrvQqOIz9do","Falls within","70"
"On or near Little Somerset Street","eCY6srbyJm8v","Location","70"
"City of London Police","fLrvQqOIz9do","Reported by","71"
"City of London Police","fLrvQqOIz9do","Falls within","71"
"On or near India Street","Ko7IzQHFPPRI","Location","71"
"City of London Police","fLrvQqOIz9do","Reported by","72"
"City of London Police","fLrvQqOIz9do","Falls within","72"
"On or near Little Somerset Street","eCY6srbyJm8v","Location","72"
"City of London Police","fLrvQqOIz9do","Reported by","73"
"City of London Police","fLrvQqOIz9do","Falls within","73"
"On or near St Clare Street","rxdkikB/nb/t","Location","73"
"City of London Police","fLrvQqOIz9do","Reported by","74"
"City of London Police","fLrvQqOIz9do","Falls within","74"
"On or near India Street","Ko7IzQHFPPRI","Location","74"
"City of London Police","fLrvQqOIz9do","Reported by","75"
"City of London Police","fLrvQqOIz9do","Falls within","75"
"On or near India Street","Ko7IzQHFPPRI","Location","75"
"City of London Police","fLrvQqOIz9do","Reported by","76"
"City of London Police","fLrvQqOIz9do","Falls within","76"
"On or near India Street","Ko7IzQHFPPRI","Location","76"
"City of London Police","fLrvQqOIz9do","Reported by","77"
"City of London Police","fLrvQqOIz9do","Falls within","77"
"On or near India Street","Ko7IzQHFPPRI","Location","77"
"City of London Police","fLrvQqOIz9do","Reported by","78"
"City of London Police","fLrvQqOIz9do","Falls within","78"
"On or near Little Somerset Street","eCY6srbyJm8v","Location","78"
"City of London Police","fLrvQqOIz9do","Reported by","79"
"City of London Police","fLrvQqOIz9do","Falls within","79"
"On or near India Street","Ko7IzQHFPPRI","Location","79"
"City of London Police","fLrvQqOIz9do","Reported by","80"
"City of London Police","fLrvQqOIz9do","Falls within","80"
"On or near Hospital","d5pekZN+0uOy","Location","80"
"City of London Police","fLrvQqOIz9do","Reported by","81"
"City of London Police","fLrvQqOIz9do","Falls within","81"
"On or near St Clare Street","rxdkikB/nb/t","Location","81"
"City of London Police","fLrvQqOIz9do","Reported by","82"
"City of London Police","fLrvQqOIz9do","Falls within","82"
"On or near Minories","vdhu9SSGlJvI","Location","82"
"City of London Police","fLrvQqOIz9do","Reported by","83"
"City of London Police","fLrvQqOIz9do","Falls within","83"
"On or near Artizan Street","W3ve2Xf7axy1","Location","83"
"City of London Police","fLrvQqOIz9do","Reported by","84"
"City of London Police","fLrvQqOIz9do","Falls within","84"
"On or near India Street","Ko7IzQHFPPRI","Location","84"
"City of London Police","fLrvQqOIz9do","Reported by","85"
"City of London Police","fLrvQqOIz9do","Falls within","85"
"On or near Supermarket","R0V5P6N9Gx/1","Location","85"
"City of London Police","fLrvQqOIz9do","Reported by","86"
"City of London Police","fLrvQqOIz9do","Falls within","86"
"On or near Goodman'S Yard","IZ8730/M66Ua","Location","86"
"City of London Police","fLrvQqOIz9do","Reported by","87"
"City of London Police","fLrvQqOIz9do","Falls within","87"
"On or near Harrow Place","1Y0Y/YzkBYoT","Location","87"
"City of London Police","fLrvQqOIz9do","Reported by","88"
"City of London Police","fLrvQqOIz9do","Falls within","88"
"On or near India Street","Ko7IzQHFPPRI","Location","88"
"City of London Police","fLrvQqOIz9do","Reported by","89"
"City of London Police","fLrvQqOIz9do","Falls within","89"
"On or near Gravel Lane","6iwE88Ea6DNO","Location","89"
"City of London Police","fLrvQqOIz9do","Reported by","90"
"City of London Police","fLrvQqOIz9do","Falls within","90"
"On or near Little Somerset Street","eCY6srbyJm8v","Location","90"
"City of London Police","fLrvQqOIz9do","Reported by","91"
"City of London Police","fLrvQqOIz9do","Falls within","91"
"On or near Goring Street","7oBUjFOTww5g","Location","91"
"City of London Police","fLrvQqOIz9do","Reported by","92"
"City of London Police","fLrvQqOIz9do","Falls within","92"
"On or near St Clare Street","rxdkikB/nb/t","Location","92"
"City of London Police","fLrvQqOIz9do","Reported by","93"
"City of London Police","fLrvQqOIz9do","Falls within","93"
"On or near India Street","Ko7IzQHFPPRI","Location","93"
"City of London Police","fLrvQqOIz9do","Reported by","94"
"City of London Police","fLrvQqOIz9do","Falls within","94"
"On or near New Street","AQJUM6v79PO+","Location","94"
"City of London Police","fLrvQqOIz9do","Reported by","95"
"City of London Police","fLrvQqOIz9do","Falls within","95"
"On or near Bishopsgate","CH41hlAxajZp","Location","95"
"City of London Police","fLrvQqOIz9do","Reported by","96"
"City of London Police","fLrvQqOIz9do","Falls within","96"
"On or near A3211","qmK0lwhwsyyk","Location","96"
"City of London Police","fLrvQqOIz9do","Reported by","97"
"City of London Police","fLrvQqOIz9do","Falls within","97"
"On or near Muscovy Street","1LoruBLh+EWY","Location","97"
"City of London Police","fLrvQqOIz9do","Reported by","98"
"City of London Police","fLrvQqOIz9do","Falls within","98"
"On or near Pancras Lane","F/D8DV6eOs8r","Location","98"
"City of London Police","fLrvQqOIz9do","Reported by","99"
"City of London Police","fLrvQqOIz9do","Falls within","99"
"On or near Liverpool Street","MlZHXg61uPKd","Location","99"
"City of London Police","fLrvQqOIz9do","Reported by","100"
"City of London Police","fLrvQqOIz9do","Falls within","100"
"On or near Theatre/Concert Hall","Tn3IHHKLBPz0","Location","100"
"City of London Police","fLrvQqOIz9do","Reported by","101"
"City of London Police","fLrvQqOIz9do","Falls within","101"
"On or near New Street","AQJUM6v79PO+","Location","101"
"City of London Police","fLrvQqOIz9do","Reported by","102"
"City of London Police","fLrvQqOIz9do","Falls within","102"
"On or near Lombard Street","6YZPZPnj3KKK","Location","102"
"City of London Police","fLrvQqOIz9do","Reported by","103"
"City of London Police","fLrvQqOIz9do","Falls within","103"
"On or near Pancras Lane","F/D8DV6eOs8r","Location","103"
"City of London Police","fLrvQqOIz9do","Reported by","104"
"City of London Police","fLrvQqOIz9do","Falls within","104"
"On or near Bury Court","gh74KppoXhWl","Location","104"
"City of London Police","fLrvQqOIz9do","Reported by","105"
"City of London Police","fLrvQqOIz9do","Falls within","105"
"On or near Watling Street","1z7+/Jkq1rk1","Location","105"
"City of London Police","fLrvQqOIz9do","Reported by","106"
"City of London Police","fLrvQqOIz9do","Falls within","106"
"On or near Watling Street","1z7+/Jkq1rk1","Location","106"
"City of London Police","fLrvQqOIz9do","Reported by","107"
"City of London Police","fLrvQqOIz9do","Falls within","107"
"On or near Circus Place","MoKITRuLqSzo","Location","107"
"City of London Police","fLrvQqOIz9do","Reported by","108"
"City of London Police","fLrvQqOIz9do","Falls within","108"
"On or near Shopping Area","fzK/HvsYVthT","Location","108"
"City of London Police","fLrvQqOIz9do","Reported by","109"
"City of London Police","fLrvQqOIz9do","Falls within","109"
"On or near Finch Lane","cW1AWnntcpSD","Location","109"
"City of London Police","fLrvQqOIz9do","Reported by","110"
"City of London Police","fLrvQqOIz9do","Falls within","110"
"On or near Supermarket","R0V5P6N9Gx/1","Location","110"
"City of London Police","fLrvQqOIz9do","Reported by","111"
"City of London Police","fLrvQqOIz9do","Falls within","111"
"On or near Wormwood Street","svK7BnUtYe+Q","Location","111"
"City of London Police","fLrvQqOIz9do","Reported by","112"
"City of London Police","fLrvQqOIz9do","Falls within","112"
"On or near Great Tower Street","iB9VbCaLMFie","Location","112"
"City of London Police","fLrvQqOIz9do","Reported by","113"
"City of London Police","fLrvQqOIz9do","Falls within","113"
"On or near Byward Street","mFffIJNCqkF4","Location","113"
"City of London Police","fLrvQqOIz9do","Reported by","114"
"City of London Police","fLrvQqOIz9do","Falls within","114"
"On or near Artillery Lane","rpGBkGFkIk2l","Location","114"
"City of London Police","fLrvQqOIz9do","Reported by","115"
"City of London Police","fLrvQqOIz9do","Falls within","115"
"On or near Heneage Place","IEQVLr1pU3rN","Location","115"
"City of London Police","fLrvQqOIz9do","Reported by","116"
"City of London Police","fLrvQqOIz9do","Falls within","116"
"On or near Tokenhouse Yard","eTSLRXj7wqqD","Location","116"
"City of London Police","fLrvQqOIz9do","Reported by","117"
"City of London Police","fLrvQqOIz9do","Falls within","117"
"On or near St Mary At Hill","+8lW+RYroZOg","Location","117"
"City of London Police","fLrvQqOIz9do","Reported by","118"
"City of London Police","fLrvQqOIz9do","Falls within","118"
"On or near Crutched Friars","Xx1u9dOHmIgj","Location","118"
"City of London Police","fLrvQqOIz9do","Reported by","119"
"City of London Police","fLrvQqOIz9do","Falls within","119"
"On or near Further/Higher Educational Building","l62VXu45RNJ4","Location","119"
"City of London Police","fLrvQqOIz9do","Reported by","120"
"City of London Police","fLrvQqOIz9do","Falls within","120"
"On or near Coleman Street","OFUlqwyq+E9X","Location","120"
"City of London Police","fLrvQqOIz9do","Reported by","121"
"City of London Police","fLrvQqOIz9do","Falls within","121"
"On or near Coleman Street","OFUlqwyq+E9X","Location","121"
"City of London Police","fLrvQqOIz9do","Reported by","122"
"City of London Police","fLrvQqOIz9do","Falls within","122"
"On or near Shopping Area","fzK/HvsYVthT","Location","122"
"City of London Police","fLrvQqOIz9do","Reported by","123"
"City of London Police","fLrvQqOIz9do","Falls within","123"
"On or near Carlisle Avenue","awEUhKP9QDMb","Location","123"
"City of London Police","fLrvQqOIz9do","Reported by","124"
"City of London Police","fLrvQqOIz9do","Falls within","124"
"On or near New London Street","kIwi4X783cZ8","Location","124"
"City of London Police","fLrvQqOIz9do","Reported by","125"
"City of London Police","fLrvQqOIz9do","Falls within","125"
"On or near Shopping Area","fzK/HvsYVthT","Location","125"
"City of London Police","fLrvQqOIz9do","Reported by","126"
"City of London Police","fLrvQqOIz9do","Falls within","126"
"On or near Creechurch Lane","Q6Ae0GmEoc0v","Location","126"
"City of London Police","fLrvQqOIz9do","Reported by","127"
"City of London Police","fLrvQqOIz9do","Falls within","127"
"On or near Queenhithe","2UyU7G+UVr4z","Location","127"
"City of London Police","fLrvQqOIz9do","Reported by","128"
"City of London Police","fLrvQqOIz9do","Falls within","128"
"On or near Creechurch Lane","Q6Ae0GmEoc0v","Location","128"
"City of London Police","fLrvQqOIz9do","Reported by","129"
"City of London Police","fLrvQqOIz9do","Falls within","129"
"On or near Ludgate Square","Y5QdLNnaa5Un","Location","129"
"City of London Police","fLrvQqOIz9do","Reported by","130"
"City of London Police","fLrvQqOIz9do","Falls within","130"
"On or near Cannon Street","xXi1HTC9dEVp","Location","130"
"City of London Police","fLrvQqOIz9do","Reported by","131"
"City of London Police","fLrvQqOIz9do","Falls within","131"
"On or near Amen Court","xiJytzLUzDN4","Location","131"
"City of London Police","fLrvQqOIz9do","Reported by","132"
"City of London Police","fLrvQqOIz9do","Falls within","132"
"On or near Amen Court","xiJytzLUzDN4","Location","132"
"City of London Police","fLrvQqOIz9do","Reported by","133"
"City of London Police","fLrvQqOIz9do","Falls within","133"
"On or near Crutched Friars","Xx1u9dOHmIgj","Location","133"
"City of London Police","fLrvQqOIz9do","Reported by","134"
"City of London Police","fLrvQqOIz9do","Falls within","134"
"On or near A10","o78y9kdU59XX","Location","134"
"City of London Police","fLrvQqOIz9do","Reported by","135"
"City of London Police","fLrvQqOIz9do","Falls within","135"
"On or near Ludgate Hill","CTwr6MzrHiTB","Location","135"
"City of London Police","fLrvQqOIz9do","Reported by","136"
"City of London Police","fLrvQqOIz9do","Falls within","136"
"On or near Angel Lane","ol5E6DulF/gF","Location","136"
"City of London Police","fLrvQqOIz9do","Reported by","137"
"City of London Police","fLrvQqOIz9do","Falls within","137"
"On or near Cannon Street","xXi1HTC9dEVp","Location","137"
"City of London Police","fLrvQqOIz9do","Reported by","138"
"City of London Police","fLrvQqOIz9do","Falls within","138"
"On or near Cannon Street","xXi1HTC9dEVp","Location","138"
"City of London Police","fLrvQqOIz9do","Reported by","139"
"City of London Police","fLrvQqOIz9do","Falls within","139"
"On or near A201","j4PeMUhtWtkm","Location","139"
"City of London Police","fLrvQqOIz9do","Reported by","140"
"City of London Police","fLrvQqOIz9do","Falls within","140"
"On or near Bishopsgate","CH41hlAxajZp","Location","140"
"City of London Police","fLrvQqOIz9do","Reported by","141"
"City of London Police","fLrvQqOIz9do","Falls within","141"
"On or near Lombard Street","6YZPZPnj3KKK","Location","141"
"City of London Police","fLrvQqOIz9do","Reported by","142"
"City of London Police","fLrvQqOIz9do","Falls within","142"
"On or near Tokenhouse Yard","eTSLRXj7wqqD","Location","142"
"City of London Police","fLrvQqOIz9do","Reported by","143"
"City of London Police","fLrvQqOIz9do","Falls within","143"
"On or near New London Street","kIwi4X783cZ8","Location","143"
"City of London Police","fLrvQqOIz9do","Reported by","144"
"City of London Police","fLrvQqOIz9do","Falls within","144"
"On or near Shopping Area","fzK/HvsYVthT","Location","144"
"City of London Police","fLrvQqOIz9do","Reported by","145"
"City of London Police","fLrvQqOIz9do","Falls within","145"
"On or near Pancras Lane","F/D8DV6eOs8r","Location","145"
"City of London Police","fLrvQqOIz9do","Reported by","146"
"City of London Police","fLrvQqOIz9do","Falls within","146"
"On or near Watling Street","1z7+/Jkq1rk1","Location","146"
"City of London Police","fLrvQqOIz9do","Reported by","147"
"City of London Police","fLrvQqOIz9do","Falls within","147"
"On or near Lombard Street","6YZPZPnj3KKK","Location","147"
"City of London Police","fLrvQqOIz9do","Reported by","148"
"City of London Police","fLrvQqOIz9do","Falls within","148"
"On or near Bell Wharf Lane","rWrQgl20+d7X","Location","148"
"City of London Police","fLrvQqOIz9do","Reported by","149"
"City of London Police","fLrvQqOIz9do","Falls within","149"
"On or near Cannon Street","xXi1HTC9dEVp","Location","149"
"City of London Police","fLrvQqOIz9do","Reported by","150"
"City of London Police","fLrvQqOIz9do","Falls within","150"
"On or near London Wall","G9vZvMLqOLrW","Location","150"
"City of London Police","fLrvQqOIz9do","Reported by","151"
"City of London Police","fLrvQqOIz9do","Falls within","151"
"On or near Circus Place","MoKITRuLqSzo","Location","151"
"City of London Police","fLrvQqOIz9do","Reported by","152"
"City of London Police","fLrvQqOIz9do","Falls within","152"
"On or near Tokenhouse Yard","eTSLRXj7wqqD","Location","152"
"City of London Police","fLrvQqOIz9do","Reported by","153"
"City of London Police","fLrvQqOIz9do","Falls within","153"
"On or near Circus Place","MoKITRuLqSzo","Location","153"
"City of London Police","fLrvQqOIz9do","Reported by","154"
"City of London Police","fLrvQqOIz9do","Falls within","154"
"On or near Laurence Pountney Lane","m+eW8qM1maOK","Location","154"
"City of London Police","fLrvQqOIz9do","Reported by","155"
"City of London Police","fLrvQqOIz9do","Falls within","155"
"On or near Ironmonger Lane","hZALazysJVvQ","Location","155"
"City of London Police","fLrvQqOIz9do","Reported by","156"
"City of London Police","fLrvQqOIz9do","Falls within","156"
"On or near Supermarket","R0V5P6N9Gx/1","Location","156"
"City of London Police","fLrvQqOIz9do","Reported by","157"
"City of London Police","fLrvQqOIz9do","Falls within","157"
"On or near Tokenhouse Yard","eTSLRXj7wqqD","Location","157"
"City of London Police","fLrvQqOIz9do","Reported by","158"
"City of London Police","fLrvQqOIz9do","Falls within","158"
"On or near Wormwood Street","svK7BnUtYe+Q","Location","158"
"City of London Police","fLrvQqOIz9do","Reported by","159"
"City of London Police","fLrvQqOIz9do","Falls within","159"
"On or near Ironmonger Lane","hZALazysJVvQ","Location","159"
"City of London Police","fLrvQqOIz9do","Reported by","160"
"City of London Police","fLrvQqOIz9do","Falls within","160"
"On or near Friday Street","Ko6fYxJRo7IA","Location","160"
"City of London Police","fLrvQqOIz9do","Reported by","161"
"City of London Police","fLrvQqOIz9do","Falls within","161"
"On or near Amen Corner","05L1EHupv/A9","Location","161"
"City of London Police","fLrvQqOIz9do","Reported by","162"
"City of London Police","fLrvQqOIz9do","Falls within","162"
"On or near Primrose Street","HjQFdtbrLWJJ","Location","162"
"City of London Police","fLrvQqOIz9do","Reported by","163"
"City of London Police","fLrvQqOIz9do","Falls within","163"
"On or near Gracechurch Street","8wnWaGjoIcFf","Location","163"
"City of London Police","fLrvQqOIz9do","Reported by","164"
"City of London Police","fLrvQqOIz9do","Falls within","164"
"On or near Primrose Street","HjQFdtbrLWJJ","Location","164"
"City of London Police","fLrvQqOIz9do","Reported by","165"
"City of London Police","fLrvQqOIz9do","Falls within","165"
"On or near Liverpool Street","MlZHXg61uPKd","Location","165"
